id,type,text1,text2,text3,notes
,,,,,
arc_malkuth,SHIP,"""Harmony"" - The backbone of Archotech Research fleets, the malkuth-pattern frigate hides a surprising amount of firepower in the form of three medium mounts and four missile launchers under thick laminated armor plate. It has lots of tactical flexibility thanks to it's light Burst Phase Core, allowing the otherwise lumbering frigate the mobility of a strike craft.

This overgunned frigate fits perfectly into the ARC's standing doctrine of quality over quantity, given that on ARC’s focus on survivability and ending fights quickly. Designed in c95 during the initial founding of the ARC, the malkuth was used as a strike/scout unit for ARC’s deep space exploratory fleets.

All ARC ships are designed to be operated by quality crews, and crew protection is paramount since the ARC cannot stand to lose any personnel on long-range deep-space exploratory missions. An integrated downscaled coronal hypershunt, a device unique to ARC ships, provides power to a robust set of flux circuits, at the risk of very long overload times. ",,,
arc_daat,SHIP,"""Knowledge"" - The Daat Pattern Spec Ops Destroyer is an armored craft whose main feature is a large articulated weapon mount. The large hybrid mount gives it multi-mission capability. A small hangar capable of housing a wing of Wanzers, a complement of medium mounts, ample PD, and micro-missiles round out this flexible and powerful ship.

A bit oversized for a destroyer, the Daat went through several design changes. It was initially envisioned by the ARC Design Team as a test-bed for a modular phase coil technology. However, the strategic insistence on relying on a coronal hypershunt core precluded this since there was no more space inside the hull. Thus, the design was scrapped, and the space for the phase coil was hollowed out, the void intended to house a spinal mounted weapon. This made the design susceptible to frontal attacks since there was not enough hull and armor to protect the prow, so finally an articulated mount was put into place, where the gun is actually supported, oriented, and recoil-compensated by several load-bearing flux-dynamic pistons. It was thought to be more fragile than standard turret rings at first, but the simplicity of the pistons' operation ensured that maintenance and repairs are easily done with a limited amount of manpower, and the lack of a turret ring ensured that the hull stayed within stress limits, if only just. Thus, the Daat was pressed into service as a front-line destroyer capable of punching abouve its weight.
arc_chokmah,SHIP,"""Wisdom"" - A heavy carrier with a terrifying array of missile weapons. Designed to bring waves of ARC wanzers to bear against enemies, the Chokmah Pattern battlecarrier also specializes in using its heavy missile launchers to rain devastation from afar"
,,
arc_deveikuth,SHIP,"""Devout"" - The Deveikuth-Pattern Assault Trooper is a prototype Wanzer designed to suppress enemies with a heavy kinetic minigun and powerful beam weapon.",
arc_teshuvah,SHIP,"""Repentance"" - The Teshuvah-Pattern Air Superiority Trooper was born from a need to clear the skies of hostile fighters threatening smaller ARC ships with lesser point defense coverage. Armed with dual Micro Gloucesters it is able to annihilate any opposing strikecraft, but will struggle against frigate-grade armor."
arc_mura,SHIP,"""Myrrh"" - The Mura-Pattern Piercer acts as ARC's unconventional solution to a lack of bomber strikecraft. This terrifying wanzer is capable of transforming into a drill mode allowing it to pierce enemy ships, while it's defensive mode allows it to effectively fight off enemy strikecraft",
,,
arc_netzach_spinal,WEAPON,"""Those madmen weaponized a hypershunt into a coronal mass ejection?""",- Unnamed Captain,
arc_kether_spinal,WEAPON,"""Those madmen weaponized a hypershunt into a coronal mass ejection?""",- Unnamed Captain
arc_mml,WEAPON,"""Reporting hits all across the broadside, Captain. Decks 12 through 23 just got perforated. The PD grids can't keep up!""",- Unnamed Gunnery Officer
arc_blackbox,WEAPON,"""The Blackbox Anti-Air Missile? An elegant solution for maintaining space superiority. I hear the multi-lock variable charge warheads make dealing with both fighters and missiles quite effective.""","- Lamed-978, Curator Core"
arc_stygan,WEAPON,"""The Stygan Pattern Meson Emitter? A venerable 'beam shotgun' with catastrophic effects on any enemy hull that violates a certain threshold of the Cube Mass Law""","- Lamed-978, Curator Core"
arc_umbra,WEAPON,"""Ah, the Umbra Pattern Anti Air gun. A tried and tested rotary cannon that utterly shreds fighters. What's not to love?""","- Lamed-978, Curator Core",,
arc_glanz,WEAPON,"""Ah, the Glance Pattern beamer. A very competent point defense emitter that can handle many targets at once. The ARC pioneered this technology and guards it heavily.""","- Lamed-978, Curator Core",,
arc_tenebre,WEAPON,"""The Tenebre Pattern Hadron Cannon? A formidable weapon, like a miniature Tachyon Lance. I've seen what those rifts can do to even shielded ships..""","- Lamed-978, Curator Core"
arc_macross,WEAPON,"""The Macross Pattern MRM? A potent concussion swarmer missile that ignores point defense by simply exploding..""","- Lamed-978, Curator Core"
arc_alphastar,WEAPON,"""The Alpha Star Resonant Missile? A powerful shield destabilizer powered by the core of a Banish. It is unwieldy and underpropelled yet very powerful if it connects""","- Lamed-978, Curator Core"
arc_busterstar_mirv,WEAPON,"""The Helios Star? This Reaction Weapon once struck fear into the hearts of our foes. It was designed primarily for planetary bombardment, and must connect with corporeal matter to explode. Nevertheless it is still capable in naval combat."" ","- Lamed-978, Curator Core"
arc_whitespace_grazer,SHIP_SYSTEM,"Temporarily shunts the ship into whitespace, with all the effects that entails. A light whitespace core stores 3 charges.",
arc_overdrive,SHIP_SYSTEM,"Widens the hypershunt pinhole aboard an ARC ship, causing flux performance above dangerous levels",
arc_aroystra_screen,SHIP_SYSTEM,"Vomits out Aroystra drone fighters",
